,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,Neighborhood_rich,YrSoldBuket,YearBuiltBuket,GarageYrBltBuket,hasPool,has3SsnPorch,hasEnclosedPorch,hasGarage,isMasVnrAreaZero,hasOpenPorchSF,hasWoodDeckSF,isBsmtUnfSFZero,is2ndFlrSFZero,hasBsmtFinSF1,hasTotalBsmtSF,hasGarageArea,isOverallQualPool,SalePrice
0,60,RL,4.18965474203,9.04204005654,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.0,4,3,PConc,4,3,1,6,706.0,1,0.0,150.0,856.0,GasA,5,1,SBrkr,6.7534379186,854,0,7.44483327389,1.0,0.0,2,1,3,1,4,8,Typ,0,0,Attchd,2003.0,2,2.0,548.0,3,3,2,0.0,4.12713438505,0,0,0,0,0,0,NA,0,2,2008,WD,Normal,0,4,9,3,0,0,0,1,1,1,0,1,1,1,1,1,0,12.2476991164
1,20,RL,4.39444915467,9.1696225387,Pave,NA,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,4,3,4,5,978.0,1,0.0,284.0,1262.0,GasA,5,1,SBrkr,7.14124512235,0,0,7.14124512235,0.0,1.0,2,0,3,1,3,6,Typ,1,3,Attchd,1976.0,2,2.0,460.0,3,3,2,5.70044357339,0.0,0,0,0,0,0,0,NA,0,5,2007,WD,Normal,0,2,7,3,0,0,0,1,0,0,1,1,0,1,1,1,0,12.1090164423
2,60,RL,4.2341065046,9.32821229257,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,162.0,4,3,PConc,4,3,2,6,486.0,1,0.0,434.0,920.0,GasA,5,1,SBrkr,6.82546003626,866,0,7.48829351516,1.0,0.0,2,1,3,1,4,6,Typ,1,3,Attchd,2001.0,2,2.0,608.0,3,3,2,0.0,3.76120011569,0,0,0,0,0,0,NA,0,9,2008,WD,Normal,0,4,9,3,0,0,0,1,1,1,0,1,1,1,1,1,0,12.3171711673
3,70,RL,4.11087386417,9.16440114003,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,3,3,BrkTil,3,4,1,5,216.0,1,0.0,540.0,756.0,GasA,4,1,SBrkr,6.86901445067,756,0,7.44891610254,1.0,0.0,1,0,3,1,4,7,Typ,1,4,Detchd,1998.0,1,3.0,642.0,3,3,2,0.0,3.58351893846,272,0,0,0,0,0,NA,0,2,2006,WD,Abnorml,0,0,3,3,0,0,1,1,0,1,0,1,1,1,1,1,0,11.8494048444
4,60,RL,4.44265125649,9.56528381774,Pave,NA,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,4,3,PConc,4,3,3,6,655.0,1,0.0,490.0,1145.0,GasA,5,1,SBrkr,7.04403289727,1053,0,7.69575799055,1.0,0.0,2,1,4,1,4,9,Typ,1,3,Attchd,2000.0,2,3.0,836.0,3,3,2,5.2626901889,4.44265125649,0,0,0,0,0,0,NA,0,12,2008,WD,Normal,1,4,9,3,0,0,0,1,1,1,1,1,1,1,1,1,0,12.4292201968
5,50,RL,4.45434729625,9.5550641848,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,Wood,4,3,1,6,732.0,1,0.0,64.0,796.0,GasA,5,1,SBrkr,6.68085467879,566,0,7.2174434317,1.0,0.0,1,1,1,1,3,5,Typ,0,0,Attchd,1993.0,1,2.0,480.0,3,3,2,3.7135720667,3.43398720449,0,320,0,0,0,3,Shed,700,10,2009,WD,Normal,0,7,8,3,0,1,0,1,0,1,1,1,1,1,1,1,0,11.8706069022
6,20,RL,4.33073334029,9.21880445039,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,186.0,4,3,PConc,5,3,3,6,1369.0,1,0.0,317.0,1686.0,GasA,5,1,SBrkr,7.43543801981,0,0,7.43543801981,1.0,0.0,2,0,3,1,4,7,Typ,1,4,Attchd,2004.0,2,2.0,636.0,3,3,2,5.54517744448,4.06044301055,0,0,0,0,0,0,NA,0,8,2007,WD,Normal,0,2,9,3,0,0,0,1,1,1,1,1,0,1,1,1,0,12.6346062839
7,60,RL,4.39444915467,9.2479251323,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,3,3,CBlock,4,3,2,5,859.0,4,32.0,216.0,1107.0,GasA,5,1,SBrkr,7.01031186731,983,0,7.64539769943,1.0,0.0,2,1,3,1,3,7,Typ,2,3,Attchd,1973.0,2,2.0,484.0,3,3,2,5.46383180503,5.32300997914,228,0,0,0,0,0,Shed,350,11,2009,WD,Normal,0,7,7,3,0,0,1,1,1,1,1,1,1,1,1,1,0,12.2060776455
8,50,RM,3.95124371858,8.71948076085,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,None,0.0,3,3,BrkTil,3,3,1,1,0.0,1,0.0,952.0,952.0,GasA,4,1,FuseF,6.93049476595,752,0,7.48155570191,0.0,0.0,2,0,2,2,3,8,Min1,2,3,Detchd,1931.0,1,2.0,468.0,2,3,2,4.51085950652,0.0,205,0,0,0,0,0,NA,0,4,2008,WD,Abnorml,0,4,4,1,0,0,1,1,0,0,1,1,1,0,1,1,0,11.7745279009
9,190,RL,3.93182563272,8.91206909797,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3,3,1,6,851.0,1,0.0,140.0,991.0,GasA,5,1,SBrkr,6.98286275147,0,0,6.98286275147,1.0,0.0,1,0,2,2,3,5,Typ,2,3,Attchd,1939.0,2,1.0,205.0,4,3,2,0.0,1.60943791243,0,0,0,0,0,0,NA,0,1,2008,WD,Normal,0,4,4,1,0,0,0,1,0,1,0,1,0,1,1,1,0,11.678448378
